lot_id,origin,process,varietal,sca_score,profile,Profile_SCA_Valid,standard_flavour
ATT240183,Mexico,Washed,Geisha & Pache,87.0,"Jasmine, citrus, apple, caramel, refreshing cocoa aftertaste.","apple, caramel, jasmine","Floral, Fruity, Sweet"
ATT240351,Peru,Honey,"Yellow Caturra, Bourbon",85.0,"Tropical fruits, melon, peach, vanila, fruity, jamaica flower aftertaste",peach,Fruity
ATT250174,Colombia,"Washed, co
fermented Ginger",SL - 28,86.0,"Ginger, citric acidity, black tea",black tea,Floral
ATT250216,Kenya,Anaerobic Natural,Batian,86.5,"Grape fruit, fermented fruit, roasted
nuts.",,
ATT250193,Mexico,Washed,"Marsellesa,
Guacamaya,
Maragogype",86.25,"Dark chocolate, chamomille, cocoa, floral, nutty","cocoa, dark chocolate",Nutty/Cocoa
ATT230135,Honduras,Honey,"Catuai
Parainema",86.5,"Delicate, Juicy, Balanced, Tealike,
Floral, Vanilla, Lemon","lemon, vanilla","Fruity, Sweet"
ATT220277,Colombia,Anaerobic Natural,Caturra,87.75,"Jasmine, Peach, Blackcurrent,
Caramel, Crisp Acidity, Round","caramel, jasmine, peach","Floral, Fruity, Sweet"
ATT220162,India,Washed,"Sarchimor /
Catimor",85.75,"Bright, Juicy, Sweet, Mandarin,
Grapefruit, Butterscotch","grapefruit, mandarin",Fruity
ATT220332,India,Natural,CxR,,-,,
ATT220331,India,Natural,CxR,,-,,
ATT220371,Brazil,Natural,Red Catuai,85.75,"Vanilla, Caramel, Dark Chocolate,
Sweet, Soft, Balanced, Juicy finish","caramel, dark chocolate, vanilla","Nutty/Cocoa, Sweet"
ATT220385,Brazil,Natural,"Yellow
Bourbon",85.25,"Milk Chocolate, Caramel, Pecan,
Mellow / Sweet, Nice acidity","caramel, milk chocolate","Nutty/Cocoa, Sweet"
Prices valid till 25-10-2024,,,,,,,
ATT220170,Honduras,Honey,Catuai,86.25,"Soft, Smooth, Forest Fruits,
Caramel, Stone Fruit",caramel,Sweet
ATT220116,India,Washed,S-795,85.0,"Complex, Medium Acidity,
Orange Zest, Cacao Nibs",,
ATT220332*,India,Natural,CxR,82.25,"Milk Chocolate, Malt, Hazelnut","hazelnut, malt, milk chocolate","Nutty/Cocoa, Roasted"
ATT220331*,India,Natural,CxR,82.75,"Dark Chocolate, Toast,
Hazelnut","dark chocolate, hazelnut",Nutty/Cocoa
ATT210273,Brazil,Natural,Catuaí,85.0,"Bright, Strawberry, Rose,
Dark chocolate, Caramel","caramel, dark chocolate, rose, strawberry","Floral, Fruity, Nutty/Cocoa, Sweet"
ATT210274,Brazil,Natural,Catuaí,85.5,"Balanced, Bright, Syrupy, Milk
Chocolate, Peanut, Nutmeg,
Tangerine, Grape","grape, nutmeg, peanut","Fruity, Nutty/Cocoa, Spices"
ATT210280,Brazil,Natural,Mundo Novo,86.5,"Round, Syrupy, Dark
Chocolate,
Caramel, Walnut, Orange","caramel, orange","Fruity, Sweet"
ATT210285,Brazil,"Yellow Honey -
Natural Fermented",Acaiá,86.0,"Mild, Medium Body, Sweet
Pastry, Cherry, Hazelnut","cherry, hazelnut","Fruity, Nutty/Cocoa"
ATT210286,Brazil,Natural,Red Catuaí,85.25,"Smooth, Silky Mouthfeel,
Brown Sugar, Caramel, Plum,
Mandarin","brown sugar, caramel, mandarin","Fruity, Sweet"
ATT230112*,Vietnam,Natural,Blend,,-,,
ATT240169,Kenya,Washed,"SL 28, Ruiru 11, Batian",86.5,"Floral, lime, tangerine, grapes, tart acidity, round body",lime,Fruity
ATT240180,Kenya,Washed,"SL 28, Ruiru 11, Batian",87.0,"Sweet, tea like, stone fruit, medium acidity, bright and complex body, decent and long aftertaste ",,
Prices valid till 31-07-2024,,,,,,,
Quantity subject to unsold and confirmation ,,,,,,,
All coffees located in Poland: prices exclude 23% VAT (only charged for companies registered in Poland),,,,,,,
Prices valid till 31-08-2023,,,,,,,
ATT240185,Mexico,Anaerobic Natural,Geisha - Caturra,87.0,"cherry, prune, caramel, cantalupe, peanut butter, juicy, long aftertaste","caramel, cherry, prune","Fruity, Sweet"
Prices valid till 30-06-2024,,,,,,,
ATT240284,Brazil,Natural,Blend,83.75,"Walnut, Milk Chocolate, Good Sweetness, Mellow Acidity",milk chocolate,Nutty/Cocoa
Prices valid till 30-09-2024,,,,,,,
Prices valid till 31-12-2023,,,,,,,
ATT240332,Indonesia,Natural,Ateng,86.5,"Apel, maple sirupy, pineapple, grape, passion fruit,
med acidity.","grape, pineapple",Fruity
